strategy,rule_set,windows,pass_%,fail_daily_%,fail_total_%,fail_target_%,median_days_to_pass,median_max_dd_%,leverage
4h_Supertrend_LO,FundedNext Crypto 2-step P1,340,47.1,42.9,7.9,2.1,3,-2.0,3
4h_EMA200_filter,FundedNext Crypto 2-step P1,340,51.5,35.3,3.2,10.0,4,-1.52,3
4h_Weekend,FundedNext Crypto 2-step P1,340,47.4,49.1,3.5,0.0,4,-1.25,3
4h_Turtle_LO,FundedNext Crypto 2-step P1,340,50.3,42.1,6.2,1.5,4,-2.16,3
1h_OR_Breakout_LO,FundedNext Crypto 2-step P1,340,52.9,40.9,5.0,1.2,4,-2.74,3
1h_OR_Breakout_LS,FundedNext Crypto 2-step P1,340,52.9,44.7,2.4,0.0,2,-2.74,3
1h_VolFilt_Donchian,FundedNext Crypto 2-step P1,340,53.2,41.8,4.1,0.9,3,-2.46,3
1h_VolFilt_Donchian_LO,FundedNext Crypto 2-step P1,340,46.5,46.8,2.6,4.1,4,-2.68,3
1h_Session_US,FundedNext Crypto 2-step P1,340,52.9,44.7,2.4,0.0,2,-2.34,3
1h_Weekend,FundedNext Crypto 2-step P1,340,47.1,52.4,0.6,0.0,3,-2.19,3
1h_BuyAndHold,FundedNext Crypto 2-step P1,340,47.6,47.4,3.2,1.8,4,-2.38,3
4h_BuyAndHold,FundedNext Crypto 2-step P1,340,52.1,37.9,6.2,3.8,5,-2.22,3
4h_DualMom_30_90,FundedNext Crypto 2-step P1,340,54.7,36.2,4.7,4.4,3,-0.66,5
4h_Supertrend_LO,FundedNext Crypto 2-step P1,340,47.4,45.9,6.8,0.0,3,-0.91,5
4h_EMA200_filter,FundedNext Crypto 2-step P1,340,46.8,41.2,6.2,5.9,3,-1.15,5
4h_Weekend,FundedNext Crypto 2-step P1,340,47.1,50.0,2.9,0.0,3,-0.24,5
4h_Turtle_LO,FundedNext Crypto 2-step P1,340,45.9,46.8,6.8,0.6,3,-1.28,5
1h_OR_Breakout_LO,FundedNext Crypto 2-step P1,340,47.6,48.8,3.5,0.0,2,-2.43,5
1h_OR_Breakout_LS,FundedNext Crypto 2-step P1,340,45.6,53.5,0.9,0.0,1,-2.22,5
1h_VolFilt_Donchian,FundedNext Crypto 2-step P1,340,46.8,50.3,2.9,0.0,2,-2.01,5
1h_VolFilt_Donchian_LO,FundedNext Crypto 2-step P1,340,49.1,47.9,1.8,1.2,4,-2.26,5
1h_Session_US,FundedNext Crypto 2-step P1,340,49.1,49.7,1.2,0.0,1,-2.01,5
1h_Weekend,FundedNext Crypto 2-step P1,340,45.3,53.8,0.9,0.0,2,-2.0,5
1h_BuyAndHold,FundedNext Crypto 2-step P1,340,47.4,48.8,2.6,1.2,4,-2.38,5
4h_BuyAndHold,FundedNext Crypto 2-step P1,340,51.5,38.8,6.2,3.5,4,-2.13,5
4h_DualMom_30_90,Apex-style strict,340,45.3,28.8,7.4,18.5,8,-1.16,1
