tf,strategy,trades,tot_ret_%,cagr_%,sharpe,sortino,max_dd_%,win_%,avg_trade_%,pf,exposure,split
1D_IS,RSI_30_70,9,-91.7,-71.2,1.2,4.58,-100.0,33.3,-14.979,0.3,32.7,IS
1D_IS,BuyAndHold,1,283.3,96.0,1.19,1.7,-82.9,100.0,283.283,999.0,100.0,IS
1D_IS,SMA_50_200_LO,1,207.2,75.5,1.16,1.09,-64.4,100.0,207.19,999.0,34.9,IS
1D_IS,Turtle_55_20,12,234.6,83.1,1.16,1.43,-67.8,50.0,18.641,3.43,91.9,IS
1D_IS,Supertrend_10_3_LO,11,151.1,58.6,1.07,1.08,-60.9,45.5,13.541,3.06,45.9,IS
1D_IS,Trend_Plus_Dip,4,89.8,37.9,1.06,0.57,-23.5,50.0,22.21,4.85,7.3,IS
1D_IS,Turtle_20_10,27,58.9,26.1,0.71,0.89,-72.9,51.9,5.17,1.72,95.9,IS
1D_IS,BuyTheDip_Connors,11,41.4,19.0,0.62,0.26,-31.6,72.7,3.783,2.29,9.2,IS
1D_IS,LarryWilliams_VBO,126,40.7,18.7,0.62,0.47,-30.8,55.6,0.393,1.28,22.2,IS
1D_IS,Donchian_Volume,11,8.6,4.2,0.48,0.52,-79.5,45.5,8.84,1.73,76.6,IS
1D_IS,Keltner_BO_LO,6,16.9,8.2,0.46,0.45,-77.3,50.0,5.992,1.65,46.4,IS
1D_IS,Supertrend_10_3,21,-3.1,-1.6,0.42,0.57,-56.7,42.9,3.977,1.41,99.9,IS
1D_IS,USSession_EMA50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IS
1D_OOS,Mom_ROC_90,4,201.5,202.7,2.14,2.64,-26.8,75.0,41.701,45.48,75.3,OOS
1D_OOS,Donchian_Volume,3,142.1,142.8,1.85,1.83,-33.3,66.7,46.682,16.93,61.4,OOS
1D_OOS,Mom_ROC_90_LO,2,133.7,134.4,1.81,1.88,-26.8,50.0,69.544,38.09,47.4,OOS
1D_OOS,DualMomentum_30_90,9,70.9,71.2,1.28,1.18,-44.3,11.1,12.329,4.17,35.6,OOS
1D_OOS,Turtle_20_10_LO,4,65.4,65.7,1.26,1.18,-36.4,50.0,19.833,4.87,41.6,OOS
1D_OOS,Supertrend_10_3_LO,4,70.1,70.4,1.23,1.43,-42.6,25.0,32.16,3.97,63.0,OOS
1D_OOS,Keltner_BO_LO,2,71.5,71.9,1.21,1.37,-47.0,50.0,47.231,5.72,66.6,OOS
1D_OOS,BuyAndHold,1,81.7,82.1,1.21,1.8,-48.2,100.0,81.74,999.0,100.0,OOS
1D_OOS,EMA200_filter,6,68.9,69.2,1.17,1.33,-35.2,16.7,15.367,4.89,66.3,OOS
1D_OOS,Turtle_20_10,11,67.2,67.5,1.12,1.43,-40.4,45.5,7.776,2.57,86.8,OOS
1D_OOS,Supertrend_10_3,8,55.1,55.3,0.99,1.39,-50.7,37.5,15.23,2.83,99.7,OOS
1D_OOS,Turtle_55_20,6,22.7,22.8,0.64,0.74,-61.6,50.0,9.089,2.01,75.1,OOS
1D_OOS,Weekend_Effect,52,15.6,15.7,0.54,0.62,-44.3,51.9,0.573,1.24,57.0,OOS
1D_OOS,SMA_50_200,2,7.5,7.5,0.38,0.37,-38.2,50.0,5.083,1.85,45.5,OOS
1D_OOS,Trend_Plus_Dip,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS
1D_OOS,USSession_EMA50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS
1D_OOS,RSI_30_70,5,-53.9,-54.0,-0.06,-0.06,-79.1,60.0,-10.124,0.13,43.8,OOS
1D_OOS,LarryWilliams_VBO,58,-8.7,-8.7,-0.08,-0.06,-23.7,29.3,-0.058,0.96,18.6,OOS
1D_OOS,SMA_50_200_LO,1,-12.0,-12.0,-0.2,-0.16,-38.2,0.0,-11.965,0.0,27.1,OOS
1D_OOS,BuyTheDip_Connors,3,-4.3,-4.3,-0.2,-0.09,-23.2,66.7,-0.964,0.8,7.7,OOS
